X,Y,id,nama,npsn,ptk,ptk_laki,ptk_perempuan,pegawai,pegawai_laki,pegawai_perempuan,pd,pd_laki,pd_perempuan,rombel,kabupaten,kode_kabupaten,provinsi,kode_provinsi,alamat,status,jenjang,akreditasi,source,location_status
102.3303,-3.1879,"12950",SDN 34 LEBONG,"10701965",7,2,5,2,0,2,16,9,7,6,Lebong,"1707",Bengkulu,"17",Desa Kota Donok,negeri,SD,C,kemdikbud,valid
102.1608,-3.1279,"12957",SDN 66 LEBONG,"10702033",7,5,2,4,1,3,5,5,0,6,Lebong,"1707",Bengkulu,"17",DUSUN IV SAWAH MANGKURAJO,negeri,SD,B,kemdikbud,valid
102.3229,-3.2179,"12960",SDIT AL-HUSNA,"69830640",8,1,7,3,1,2,182,106,76,7,Lebong,"1707",Bengkulu,"17",JALAN SUHARTO GANG IMAM MAHDI,swasta,SD,A,kemdikbud,valid
0,0,"12968",TK TELADAN,"70028853",1,0,1,2,1,1,13,4,9,1,Lebong,"1707",Bengkulu,"17",Kampung Muara Aman,swasta,TK,,kemdikbud,not-mapped
102.1938917,-3.1150667,"12973",SDN 01 LEBONG,"10701922",10,4,6,4,2,2,101,55,46,6,Lebong,"1707",Bengkulu,"17",Lokasari,negeri,SD,B,kemdikbud,valid
102.1991,-3.116,"12976",SDN 20 LEBONG,"10701929",10,3,7,1,1,0,67,38,29,6,Lebong,"1707",Bengkulu,"17",Jln. Kelurahan Kampung Jawa,negeri,SD,B,kemdikbud,valid
102.1835267,-3.1038067,"12977",SDN 43 LEBONG,"10701988",9,3,6,3,1,2,73,41,32,8,Lebong,"1707",Bengkulu,"17",Desa Ladang Palembang,negeri,SD,B,kemdikbud,valid
102.2005017,-3.1291567,"12978",SDN 58 LEBONG,"10702023",10,1,9,1,0,1,69,40,29,6,Lebong,"1707",Bengkulu,"17",Desa Talang Ulu,negeri,SD,B,kemdikbud,valid
102.1941,-3.1121,"12984",SMP IT AL-KAHFI,"70000962",8,4,4,1,0,1,98,67,31,4,Lebong,"1707",Bengkulu,"17","Jl. Gajah Mada, Gg. Aliyah",swasta,SMP,B,kemdikbud,valid
102.1995817,-3.1162467,"12986",SMP MUHAMMADIYAH 05 MUARA AMAN,"10701977",7,5,2,2,2,0,49,32,17,3,Lebong,"1707",Bengkulu,"17",Jl. Kampung Jawa No 123,swasta,SMP,C,kemdikbud,valid
102.1968017,-3.13136,"12989",SMK N 4 LEBONG,"69830643",21,8,13,4,0,4,199,94,105,10,Lebong,"1707",Bengkulu,"17",Jalan Raya Tubei,negeri,SMK,Tidak Terakreditasi,kemdikbud,valid
0,0,"12997",SPS AL-IKHSAN,"69792438",2,0,2,1,0,1,0,0,0,0,Lebong,"1707",Bengkulu,"17",RIO CENDE,swasta,SPS,C,kemdikbud,not-mapped
102.3894,-3.0871,"13003",SDN 23 LEBONG,"10701938",9,2,7,1,0,1,31,19,12,6,Lebong,"1707",Bengkulu,"17",Jln. Raya Embong Panjang,negeri,SD,C,kemdikbud,valid
102.227,-3.1489,"13005",SDN 76 LEBONG,"10702043",11,2,9,2,0,2,156,83,73,7,Lebong,"1707",Bengkulu,"17",Pagar Agung,negeri,SD,C,kemdikbud,valid
